,horizonte,rodal_id,Zona,SiteIndex,Especie,Edad,Manejo,Biomasa
81,1,rodal_2,7,29,Pinus,14,Intensivo2,528.4319612856547
82,2,rodal_2,7,29,Pinus,15,Intensivo2,632.2990677208081
83,3,rodal_2,7,29,Pinus,16,Intensivo2,734.6116998852169
84,4,rodal_2,7,29,Pinus,17,Intensivo2,835.4882904708271
85,5,rodal_2,7,29,Pinus,18,Intensivo2,935.0318398639489
86,6,rodal_2,7,29,Pinus,19,Intensivo2,1033.3326704952033
87,7,rodal_2,7,29,Pinus,20,Intensivo2,1130.4705707224248
88,8,rodal_2,7,29,Pinus,21,Intensivo2,1226.5164872857226
89,9,rodal_2,7,29,Pinus,22,Intensivo2,1321.5338783409397
90,10,rodal_2,7,29,Pinus,23,Intensivo2,1415.5798074606307
91,11,rodal_2,7,29,Pinus,24,Intensivo2,1508.7058372863683
92,12,rodal_2,7,29,Pinus,25,Intensivo2,1600.9587663316424
93,13,rodal_2,7,29,Pinus,26,Intensivo2,1692.3812416292035
94,14,rodal_2,7,29,Pinus,27,Intensivo2,1783.0122721076855
95,15,rodal_2,7,29,Pinus,28,Intensivo2,1872.887661858511
96,16,rodal_2,7,29,Pinus,29,Intensivo2,1962.040378204133
97,17,rodal_2,7,29,Pinus,30,Intensivo2,2050.500866285298
98,18,rodal_2,7,29,Pinus,31,Intensivo2,2138.297319459128
99,19,rodal_2,7,29,Pinus,32,Intensivo2,2225.4559129381573
100,20,rodal_2,7,29,Pinus,33,Intensivo2,2312.001006658241
101,21,rodal_2,7,29,Pinus,34,Intensivo2,2397.9553222361847
102,22,rodal_2,7,29,Pinus,35,Intensivo2,2483.340097989879
103,23,rodal_2,7,29,Pinus,36,Intensivo2,2568.175225288617
104,24,rodal_2,7,29,Pinus,37,Intensivo2,2652.4793689374283
105,25,rodal_2,7,29,Pinus,38,Intensivo2,2736.270073845242
106,26,rodal_2,7,29,Pinus,39,Intensivo2,2819.5638598589426
107,27,rodal_2,7,29,Pinus,40,Intensivo2,2902.376306345497
108,28,rodal_2,7,29,Pinus,41,Intensivo2,2984.7221278586344
109,29,rodal_2,7,29,Pinus,42,Intensivo2,0.0
110,30,rodal_2,7,29,Pinus,43,Intensivo2,0.0
111,31,rodal_2,7,29,Pinus,44,Intensivo2,0.0
112,32,rodal_2,7,29,Pinus,45,Intensivo2,0.0
113,33,rodal_2,7,29,Pinus,46,Intensivo2,0.0
114,34,rodal_2,7,29,Pinus,47,Intensivo2,0.0
115,35,rodal_2,7,29,Pinus,48,Intensivo2,0.0
116,36,rodal_2,7,29,Pinus,49,Intensivo2,0.0
117,37,rodal_2,7,29,Pinus,50,Intensivo2,0.0
118,38,rodal_2,7,29,Pinus,51,Intensivo2,0.0
119,39,rodal_2,7,29,Pinus,52,Intensivo2,0.0
120,0,rodal_3,6,32,Pinus,8,Intensivo,0.0
121,1,rodal_3,6,32,Pinus,9,Intensivo,17.156523885803153
122,2,rodal_3,6,32,Pinus,10,Intensivo,119.90702851458514
123,3,rodal_3,6,32,Pinus,11,Intensivo,218.24540589000344
124,4,rodal_3,6,32,Pinus,12,Intensivo,312.7387183772105
125,5,rodal_3,6,32,Pinus,13,Intensivo,403.8405036323827
126,6,rodal_3,6,32,Pinus,14,Intensivo,491.9204142326155
127,7,rodal_3,6,32,Pinus,15,Intensivo,577.2845670451859
128,8,rodal_3,6,32,Pinus,16,Intensivo,660.1899369119699
129,9,rodal_3,6,32,Pinus,17,Intensivo,740.8547993217164
130,10,rodal_3,6,32,Pinus,18,Intensivo,819.4664741251902
131,11,rodal_3,6,32,Pinus,19,Intensivo,896.1871783084309
132,12,rodal_3,6,32,Pinus,20,Intensivo,971.1585242998419
133,13,rodal_3,6,32,Pinus,21,Intensivo,1044.5050289758267
134,14,rodal_3,6,32,Pinus,22,Intensivo,1116.3368874506466
135,15,rodal_3,6,32,Pinus,23,Intensivo,1186.752191943024
136,16,rodal_3,6,32,Pinus,24,Intensivo,1255.8387259161998
137,17,rodal_3,6,32,Pinus,25,Intensivo,1323.67542901203
138,18,rodal_3,6,32,Pinus,26,Intensivo,1390.3336038718346
139,19,rodal_3,6,32,Pinus,27,Intensivo,1455.8779184518114
140,20,rodal_3,6,32,Pinus,28,Intensivo,1520.3672447422139
141,21,rodal_3,6,32,Pinus,29,Intensivo,1583.8553654533855
142,22,rodal_3,6,32,Pinus,30,Intensivo,1646.3915732683229
143,23,rodal_3,6,32,Pinus,31,Intensivo,1708.0211820143493
144,24,rodal_3,6,32,Pinus,32,Intensivo,0.0
145,25,rodal_3,6,32,Pinus,33,Intensivo,0.0
146,26,rodal_3,6,32,Pinus,34,Intensivo,0.0
147,27,rodal_3,6,32,Pinus,35,Intensivo,0.0
148,28,rodal_3,6,32,Pinus,36,Intensivo,0.0
149,29,rodal_3,6,32,Pinus,37,Intensivo,0.0
150,30,rodal_3,6,32,Pinus,38,Intensivo,0.0
151,31,rodal_3,6,32,Pinus,39,Intensivo,0.0
152,32,rodal_3,6,32,Pinus,40,Intensivo,0.0
153,33,rodal_3,6,32,Pinus,41,Intensivo,0.0
154,34,rodal_3,6,32,Pinus,42,Intensivo,0.0
155,35,rodal_3,6,32,Pinus,43,Intensivo,0.0
156,36,rodal_3,6,32,Pinus,44,Intensivo,0.0
157,37,rodal_3,6,32,Pinus,45,Intensivo,0.0
158,38,rodal_3,6,32,Pinus,46,Intensivo,0.0
159,39,rodal_3,6,32,Pinus,47,Intensivo,0.0
160,0,rodal_4,6,26,Pinus,13,Multipropósito,630.9031797962999
161,1,rodal_4,6,26,Pinus,14,Multipropósito,773.5543663924532
162,2,rodal_4,6,26,Pinus,15,Multipropósito,935.675254272761
163,3,rodal_4,6,26,Pinus,16,Multipropósito,1118.3580844534517
164,4,rodal_4,6,26,Pinus,17,Multipropósito,1322.6799590903456
165,5,rodal_4,6,26,Pinus,18,Multipropósito,1549.7039811873494
166,6,rodal_4,6,26,Pinus,19,Multipropósito,1800.4802465636185
167,7,rodal_4,6,26,Pinus,20,Multipropósito,2076.0467143845394
168,8,rodal_4,6,26,Pinus,21,Multipropósito,1364.0599040320246
169,9,rodal_4,6,26,Pinus,22,Multipropósito,1478.5271879977804
170,10,rodal_4,6,26,Pinus,23,Multipropósito,1591.4486735195549
171,11,rodal_4,6,26,Pinus,24,Multipropósito,1702.9111551609255
172,12,rodal_4,6,26,Pinus,25,Multipropósito,1812.993157783142
173,13,rodal_4,6,26,Pinus,26,Multipropósito,1921.7660224510678
174,14,rodal_4,6,26,Pinus,27,Multipropósito,2029.2948136004527
175,15,rodal_4,6,26,Pinus,28,Multipropósito,2135.6390823996257
176,16,rodal_4,6,26,Pinus,29,Multipropósito,2240.8535134101717
177,17,rodal_4,6,26,Pinus,30,Multipropósito,2344.98847578598
178,18,rodal_4,6,26,Pinus,31,Multipropósito,2448.090495806928
179,19,rodal_4,6,26,Pinus,32,Multipropósito,2550.202664142891
180,20,rodal_4,6,26,Pinus,33,Multipropósito,2651.3649886162443
181,21,rodal_4,6,26,Pinus,34,Multipropósito,2751.6147011827384
182,22,rodal_4,6,26,Pinus,35,Multipropósito,2850.98652624063
183,23,rodal_4,6,26,Pinus,36,Multipropósito,2949.5129161026507
184,24,rodal_4,6,26,Pinus,37,Multipropósito,3047.2242584478267
185,25,rodal_4,6,26,Pinus,38,Multipropósito,0.0
186,26,rodal_4,6,26,Pinus,39,Multipropósito,0.0
187,27,rodal_4,6,26,Pinus,40,Multipropósito,0.0
188,28,rodal_4,6,26,Pinus,41,Multipropósito,0.0
189,29,rodal_4,6,26,Pinus,42,Multipropósito,0.0
190,30,rodal_4,6,26,Pinus,43,Multipropósito,0.0
191,31,rodal_4,6,26,Pinus,44,Multipropósito,0.0
192,32,rodal_4,6,26,Pinus,45,Multipropósito,0.0
193,33,rodal_4,6,26,Pinus,46,Multipropósito,0.0
194,34,rodal_4,6,26,Pinus,47,Multipropósito,0.0
195,35,rodal_4,6,26,Pinus,48,Multipropósito,0.0
196,36,rodal_4,6,26,Pinus,49,Multipropósito,0.0
197,37,rodal_4,6,26,Pinus,50,Multipropósito,0.0
198,38,rodal_4,6,26,Pinus,51,Multipropósito,0.0
199,39,rodal_4,6,26,Pinus,52,Multipropósito,0.0
200,0,rodal_5,6,29,Pinus,6,Intensivo2,0.0
201,1,rodal_5,6,29,Pinus,7,Intensivo2,0.0
202,2,rodal_5,6,29,Pinus,8,Intensivo2,0.0
203,3,rodal_5,6,29,Pinus,9,Intensivo2,21.445654857253942
204,4,rodal_5,6,29,Pinus,10,Intensivo2,149.88378564323142
205,5,rodal_5,6,29,Pinus,11,Intensivo2,272.8067573625043
206,6,rodal_5,6,29,Pinus,12,Intensivo2,390.9233979715131
207,7,rodal_5,6,29,Pinus,13,Intensivo2,504.8006295404784
208,8,rodal_5,6,29,Pinus,14,Intensivo2,614.9005177907693
209,9,rodal_5,6,29,Pinus,15,Intensivo2,721.6057088064824
210,10,rodal_5,6,29,Pinus,16,Intensivo2,825.2374211399624
211,11,rodal_5,6,29,Pinus,17,Intensivo2,926.0684991521455
212,12,rodal_5,6,29,Pinus,18,Intensivo2,1024.3330926564877
213,13,rodal_5,6,29,Pinus,19,Intensivo2,1120.2339728855386
214,14,rodal_5,6,29,Pinus,20,Intensivo2,1213.9481553748024
215,15,rodal_5,6,29,Pinus,21,Intensivo2,1305.6312862197833
216,16,rodal_5,6,29,Pinus,22,Intensivo2,1395.4211093133083
217,17,rodal_5,6,29,Pinus,23,Intensivo2,1483.4402399287799
218,18,rodal_5,6,29,Pinus,24,Intensivo2,1569.7984073952498
219,19,rodal_5,6,29,Pinus,25,Intensivo2,0.0
220,20,rodal_5,6,29,Pinus,26,Intensivo2,0.0
221,21,rodal_5,6,29,Pinus,27,Intensivo2,0.0
222,22,rodal_5,6,29,Pinus,28,Intensivo2,0.0
223,23,rodal_5,6,29,Pinus,29,Intensivo2,0.0
224,24,rodal_5,6,29,Pinus,30,Intensivo2,0.0
225,25,rodal_5,6,29,Pinus,31,Intensivo2,0.0
226,26,rodal_5,6,29,Pinus,32,Intensivo2,0.0
227,27,rodal_5,6,29,Pinus,33,Intensivo2,0.0
228,28,rodal_5,6,29,Pinus,34,Intensivo2,0.0
229,29,rodal_5,6,29,Pinus,35,Intensivo2,0.0
230,30,rodal_5,6,29,Pinus,36,Intensivo2,0.0
231,31,rodal_5,6,29,Pinus,37,Intensivo2,0.0
232,32,rodal_5,6,29,Pinus,38,Intensivo2,0.0
233,33,rodal_5,6,29,Pinus,39,Intensivo2,0.0
234,34,rodal_5,6,29,Pinus,40,Intensivo2,0.0
235,35,rodal_5,6,29,Pinus,41,Intensivo2,0.0
236,36,rodal_5,6,29,Pinus,42,Intensivo2,0.0
237,37,rodal_5,6,29,Pinus,43,Intensivo2,0.0
238,38,rodal_5,6,29,Pinus,44,Intensivo2,0.0
239,39,rodal_5,6,29,Pinus,45,Intensivo2,0.0
240,0,rodal_6,6,23,Pinus,12,Pulpable,545.5027756876477
241,1,rodal_6,6,23,Pinus,13,Pulpable,665.77995700642
242,2,rodal_6,6,23,Pinus,14,Pulpable,787.6323826278099
243,3,rodal_6,6,23,Pinus,15,Pulpable,910.9658162726575
244,4,rodal_6,6,23,Pinus,16,Pulpable,1035.6976184979712
245,5,rodal_6,6,23,Pinus,17,Pulpable,1161.7546776329084
246,6,rodal_6,6,23,Pinus,18,Pulpable,1289.071810948434
247,7,rodal_6,6,23,Pinus,19,Pulpable,1417.5905087704004
248,8,rodal_6,6,23,Pinus,20,Pulpable,1547.2579336483955
249,9,rodal_6,6,23,Pinus,21,Pulpable,1678.0261125206268
250,10,rodal_6,6,23,Pinus,22,Pulpable,1809.8512771743244
251,11,rodal_6,6,23,Pinus,23,Pulpable,1942.6933202302462
252,12,rodal_6,6,23,Pinus,24,Pulpable,2076.5153422415706
253,13,rodal_6,6,23,Pinus,25,Pulpable,2211.2832714637366
254,14,rodal_6,6,23,Pinus,26,Pulpable,2346.9655421779607
255,15,rodal_6,6,23,Pinus,27,Pulpable,2483.5328206342206
256,16,rodal_6,6,23,Pinus,28,Pulpable,0.0
257,17,rodal_6,6,23,Pinus,29,Pulpable,0.0
258,18,rodal_6,6,23,Pinus,30,Pulpable,0.0
259,19,rodal_6,6,23,Pinus,31,Pulpable,0.0
260,20,rodal_6,6,23,Pinus,32,Pulpable,0.0
261,21,rodal_6,6,23,Pinus,33,Pulpable,0.0
262,22,rodal_6,6,23,Pinus,34,Pulpable,0.0
263,23,rodal_6,6,23,Pinus,35,Pulpable,0.0
264,24,rodal_6,6,23,Pinus,36,Pulpable,0.0
265,25,rodal_6,6,23,Pinus,37,Pulpable,0.0
266,26,rodal_6,6,23,Pinus,38,Pulpable,0.0
267,27,rodal_6,6,23,Pinus,39,Pulpable,0.0
268,28,rodal_6,6,23,Pinus,40,Pulpable,0.0
269,29,rodal_6,6,23,Pinus,41,Pulpable,0.0
270,30,rodal_6,6,23,Pinus,42,Pulpable,0.0
271,31,rodal_6,6,23,Pinus,43,Pulpable,0.0
272,32,rodal_6,6,23,Pinus,44,Pulpable,0.0
273,33,rodal_6,6,23,Pinus,45,Pulpable,0.0
274,34,rodal_6,6,23,Pinus,46,Pulpable,0.0
275,35,rodal_6,6,23,Pinus,47,Pulpable,0.0
276,36,rodal_6,6,23,Pinus,48,Pulpable,0.0
277,37,rodal_6,6,23,Pinus,49,Pulpable,0.0
278,38,rodal_6,6,23,Pinus,50,Pulpable,0.0
279,39,rodal_6,6,23,Pinus,51,Pulpable,0.0
280,0,rodal_7,6,32,Pinus,4,Intensivo,52.203372668594106
281,1,rodal_7,6,32,Pinus,5,Intensivo,77.19888123507324
282,2,rodal_7,6,32,Pinus,6,Intensivo,109.33307626586142
283,3,rodal_7,6,32,Pinus,7,Intensivo,148.9444150046411
284,4,rodal_7,6,32,Pinus,8,Intensivo,196.33117781438568
285,5,rodal_7,6,32,Pinus,9,Intensivo,251.7611423828156
286,6,rodal_7,6,32,Pinus,10,Intensivo,315.47802581954363
287,7,rodal_7,6,32,Pinus,11,Intensivo,387.70601206580733
288,8,rodal_7,6,32,Pinus,12,Intensivo,312.7387183772105
289,9,rodal_7,6,32,Pinus,13,Intensivo,403.8405036323827
290,10,rodal_7,6,32,Pinus,14,Intensivo,491.9204142326155
291,11,rodal_7,6,32,Pinus,15,Intensivo,577.2845670451859
292,12,rodal_7,6,32,Pinus,16,Intensivo,660.1899369119699
293,13,rodal_7,6,32,Pinus,17,Intensivo,740.8547993217164
294,14,rodal_7,6,32,Pinus,18,Intensivo,819.4664741251902
295,15,rodal_7,6,32,Pinus,19,Intensivo,0.0
296,16,rodal_7,6,32,Pinus,20,Intensivo,0.0
297,17,rodal_7,6,32,Pinus,21,Intensivo,0.0
298,18,rodal_7,6,32,Pinus,22,Intensivo,0.0
299,19,rodal_7,6,32,Pinus,23,Intensivo,0.0
300,20,rodal_7,6,32,Pinus,24,Intensivo,0.0
301,21,rodal_7,6,32,Pinus,25,Intensivo,0.0
302,22,rodal_7,6,32,Pinus,26,Intensivo,0.0
303,23,rodal_7,6,32,Pinus,27,Intensivo,0.0
304,24,rodal_7,6,32,Pinus,28,Intensivo,0.0
305,25,rodal_7,6,32,Pinus,29,Intensivo,0.0
306,26,rodal_7,6,32,Pinus,30,Intensivo,0.0
307,27,rodal_7,6,32,Pinus,31,Intensivo,0.0
308,28,rodal_7,6,32,Pinus,32,Intensivo,0.0
309,29,rodal_7,6,32,Pinus,33,Intensivo,0.0
